,REPRESENTATIVE,PARTY,1319,1808,3076,3617,3684,3755,5376,5746,7780,7791,7900,8404
243,Biggs,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY
244,Bilirakis,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
245,Bishop (NC),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
246,Boebert,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY
247,Bost,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
248,Brady,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
249,Brooks,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
250,Buchanan,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
251,Buck,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
252,Bucshon,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
253,Budd,Republican,NAY,NAY,YEA,NOT_VOTING,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
254,Burchett,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NOT_VOTING
255,Burgess,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
256,Calvert,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
257,Cammack,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
259,Carl,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NOT_VOTING,NAY,NAY,YEA,YEA,NAY
260,Carter (GA),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
261,Carter (TX),Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
262,Cawthorn,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
263,Chabot,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
264,Cheney,Republican,NAY,NAY,YEA,NOT_VOTING,NAY,NOT_VOTING,NAY,NAY,NOT_VOTING,YEA,YEA,YEA
265,Cline,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NOT_VOTING,NAY,YEA,NAY,NAY
266,Cloud,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
267,Clyde,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
268,Cole,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
269,Comer,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
271,Crawford,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
272,Crenshaw,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
273,Curtis,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
274,Davidson,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
275,"Davis, Rodney",Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
276,DesJarlais,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
277,Diaz-Balart,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
278,Donalds,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
279,Duncan,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
280,Dunn,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
282,Emmer,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
283,Estes,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
284,Fallon,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
285,Feenstra,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
286,Ferguson,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
288,Fischbach,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
289,Fitzgerald,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
290,Fitzpatrick,Republican,NAY,YEA,YEA,NAY,YEA,NAY,NAY,NAY,YEA,YEA,YEA,YEA
291,Fleischmann,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
295,Foxx,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,NOT_VOTING,YEA,NAY
296,"Franklin, C. Scott",Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
297,Fulcher,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
298,Gaetz,Republican,NAY,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY
299,Gallagher,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NOT_VOTING,NAY,NAY,YEA,YEA,NAY
300,Garbarino,Republican,NAY,NAY,YEA,NAY,YEA,NAY,NAY,NAY,NAY,YEA,YEA,YEA
301,Garcia (CA),Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA
302,Gibbs,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
303,Gimenez,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
304,Gohmert,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY
305,"Gonzales, Tony",Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
306,Gonzalez (OH),Republican,NAY,NOT_VOTING,YEA,NAY,YEA,NAY,NAY,NAY,NAY,YEA,YEA,YEA
307,Good (VA),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
308,Gooden (TX),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
309,Gosar,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY
310,Granger,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
311,Graves (LA),Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
312,Graves (MO),Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
313,Green (TN),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NOT_VOTING,NAY,YEA,YEA,NAY
314,Greene (GA),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY
315,Griffith,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
316,Grothman,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
317,Guest,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
318,Guthrie,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
320,Harris,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
321,Harshbarger,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
322,Hartzler,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NOT_VOTING
323,Hern,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
324,Herrell,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
325,Herrera Beutler,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
326,Hice (GA),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
327,Higgins (LA),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NOT_VOTING,NAY,NAY,NAY,NAY
328,Hill,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
329,Hinson,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
330,Hollingsworth,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NOT_VOTING,YEA,YEA,NOT_VOTING
331,Hudson,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
332,Huizenga,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
333,Issa,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
334,Jackson,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
335,Jacobs (NY),Republican,NAY,YEA,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
336,Johnson (LA),Republican,NAY,NAY,NAY,NOT_VOTING,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
337,Johnson (OH),Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
338,Johnson (SD),Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
339,Jordan,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
340,Joyce (OH),Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
341,Joyce (PA),Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
342,Katko,Republican,NAY,NAY,YEA,NAY,YEA,NAY,NAY,NAY,NAY,YEA,YEA,YEA
343,Keller,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
344,Kelly (MS),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
345,Kelly (PA),Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
346,Kim (CA),Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
347,Kinzinger,Republican,NAY,NAY,YEA,NAY,YEA,NAY,NAY,NAY,NAY,YEA,YEA,YEA
348,Kustoff,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
349,LaHood,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
350,LaMalfa,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NOT_VOTING,YEA,NAY,NAY
351,LaTurner,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
352,Lamborn,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
353,Latta,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
354,Lesko,Republican,NAY,NAY,NAY,NAY,NAY,NOT_VOTING,NAY,NAY,NAY,YEA,NAY,NAY
356,Long,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
357,Loudermilk,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
358,Lucas,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NOT_VOTING
359,Luetkemeyer,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
360,Mace,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
361,Malliotakis,Republican,NAY,NAY,YEA,NAY,YEA,NAY,NAY,NAY,NAY,YEA,YEA,YEA
362,Mann,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
363,Massie,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY
364,Mast,Republican,NAY,NAY,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA
365,McCarthy,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
366,McCaul,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
367,McClain,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
368,McClintock,Republican,NAY,NAY,NAY,YEA,NAY,NAY,NAY,NOT_VOTING,NAY,YEA,NAY,NAY
369,McHenry,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
370,McKinley,Republican,NAY,NAY,YEA,NAY,YEA,NAY,NAY,NAY,NAY,YEA,YEA,NOT_VOTING
371,Meijer,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
372,Meuser,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA
373,Miller (IL),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
374,Miller (WV),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NOT_VOTING
375,Miller-Meeks,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
376,Moolenaar,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
377,Mooney,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
378,Moore (AL),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
379,Moore (UT),Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
380,Mullin,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
381,Murphy (NC),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
382,Nehls,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
383,Newhouse,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NOT_VOTING,YEA,YEA,YEA
384,Norman,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
386,Obernolte,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
387,Owens,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
388,Palazzo,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NOT_VOTING,YEA,NAY
389,Palmer,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NOT_VOTING,NAY,YEA,YEA,NAY
390,Pence,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NOT_VOTING,NAY,NAY,YEA,NAY,NAY
391,Perry,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA
392,Pfluger,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
393,Posey,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
395,Reschenthaler,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
396,Rice (SC),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA
397,Rodgers (WA),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
398,Rogers (AL),Republican,NAY,NAY,YEA,NAY,NAY,NAY,NOT_VOTING,NOT_VOTING,NAY,YEA,YEA,NAY
399,Rogers (KY),Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
400,Rose,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
401,Rosendale,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
402,Rouzer,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
403,Roy,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY
404,Rutherford,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NOT_VOTING,NAY,NOT_VOTING,YEA,NAY
405,Salazar,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
406,Scalise,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
407,Schweikert,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
408,"Scott, Austin",Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
410,Sessions,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
411,Simpson,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
412,Smith (MO),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
413,Smith (NE),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
414,Smith (NJ),Republican,NAY,NAY,YEA,NAY,YEA,NAY,NAY,NAY,NAY,YEA,YEA,NAY
415,Smucker,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NOT_VOTING,YEA,NAY
416,Spartz,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
417,Stauber,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
418,Steel,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
419,Stefanik,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
420,Steil,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
421,Steube,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
422,Stewart,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
424,Taylor,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
425,Tenney,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
426,Thompson (PA),Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
427,Tiffany,Republican,NOT_VOTING,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,NAY,NAY
428,Timmons,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
429,Turner,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
430,Upton,Republican,NAY,NAY,YEA,NAY,YEA,NAY,NAY,NAY,NAY,YEA,YEA,YEA
431,Valadao,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
432,Van Drew,Republican,NAY,NAY,YEA,NAY,YEA,NAY,NAY,NAY,NAY,YEA,NAY,YEA
433,Van Duyne,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
434,Wagner,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
435,Walberg,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
437,Waltz,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA
438,Weber (TX),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
439,Webster (FL),Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NOT_VOTING,NAY,YEA,YEA,NAY
440,Wenstrup,Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
441,Westerman,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
442,Williams (TX),Republican,NAY,NAY,NAY,NAY,NAY,NAY,NAY,NOT_VOTING,NAY,YEA,NAY,NAY
443,Wilson (SC),Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
444,Wittman,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
445,Womack,Republican,NAY,NAY,YEA,NAY,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY
447,Zeldin,Republican,NAY,NAY,YEA,NOT_VOTING,NAY,NAY,NAY,NAY,NOT_VOTING,YEA,NAY,YEA
